Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
414,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-3GalNAca-Sp14,3.609725,5.625298085,155.837303,-3.446977335,#NUM!
214,Mana1-2Mana1-2Mana1-6(Mana1-3)Mana-Sp9,3.59275,6.582229436,183.2086685,-2.948431104,#NUM!
125,Galb1-2Galb-Sp8,3.507125,3.113872576,88.78704285,-6.260010492,#NUM!
24,(3S)Galb1-4(Fuca1-3)(6S)Glc-Sp0,3.467175,0.850084805,24.51808187,-22.97750164,#NUM!
580,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,3.455275,2.766993162,80.08025878,-7.063524866,#NUM!
37,(3S)Galb1-4GlcNAcb-Sp8,3.4451,5.599110306,162.5238834,-3.492501296,#NUM!
528,GalNAcb1-4GlcNAcb1-2Mana-Sp0,3.445075,6.005616704,174.3247013,-3.256106069,#NUM!
163,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,3.3578,3.933994625,117.1598852,-4.992940222,#NUM!
446,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-4(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,3.3525,4.266728848,127.2700626,-4.604815703,#NUM!
444,(6S)Galb1-3(6S)GlcNAc-Sp0,3.3491,4.156466982,124.1069834,-4.72778927,#NUM!
209,Mana1-2Mana1-3Mana-Sp9,3.336425,4.967196637,148.8778149,-3.958686647,#NUM!
3,Mana-Sp8,3.314925,4.60350179,138.8719742,-4.276108905,#NUM!
556,Neu5Gca2-8Neu5Gca2-6Galb1-4GlcNAc-Sp0,3.296325,5.98009979,181.4171779,-3.294873947,#NUM!
192,GlcNAcb1-6GalNAca-Sp8,3.28115,4.080122594,124.3503831,-4.832906253,#NUM!
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,3.2785,8.681300088,264.7948784,-2.271721954,#NUM!
