Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
570,(3S)GlcAb1-3Galb1-4GlcNAcb1-2Mana-Sp0,4.139525,1.95255196,47.16850266,-11.19584802,#NUM!
466,Neu5Aca2-6Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-4(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,4.130525,1.983686498,48.02504519,-11.02466293,#NUM!
283,Neu5Gca2-3Galb1-4GlcNAcb-Sp0,4.127625,3.672203019,88.96648844,-5.956199831,#NUM!
42,(6S)Galb1-4Glcb-Sp0,4.10095,8.112528587,197.8207144,-2.699411135,#NUM!
517,Galb1-4(6P)GlcNAcb-Sp0 ,4.099225,2.556839049,62.37371818,-8.565566538,#NUM!
514,GalNAcb1-4(6S)GlcNAc-Sp8 ,4.09765,2.9405635,71.76219296,-7.448351311,#NUM!
549,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,4.093,1.933021081,47.22748793,-11.33303729,#NUM!
138,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,4.051625,7.688844807,189.7718769,-2.854573808,#NUM!
328,"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",4.0466,5.58760435,138.0814597,-3.928946759,#NUM!
69,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,4.01995,4.819717092,119.8949512,-4.560444022,#NUM!
